2025-12-31 08:12:00.852 | INFO | simulation | Launched detached simulation. PID=2860
2025-12-31 08:12:01.988 | INFO | simulation | Run initialized
2025-12-31 08:12:01.989 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:12:01.989 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\params.yaml
2025-12-31 08:12:01.989 | INFO | simulation | Experiments dir: experiments
2025-12-31 08:12:01.989 | INFO | simulation | Running experiment from config
2025-12-31 08:12:01.994 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-31 08:13:03.465 | INFO | simulation | Progress: 85% (2187/2572) | date=2023-12-14 00:00:00 nav=305.21346104 opt_status=no_rebalance
2025-12-31 08:13:04.165 | INFO | simulation | Progress: 86% (2212/2572) | date=2024-01-19 00:00:00 nav=324.7922316 opt_status=no_rebalance
2025-12-31 08:13:05.051 | INFO | simulation | Progress: 87% (2238/2572) | date=2024-02-27 00:00:00 nav=285.08984907 opt_status=no_rebalance
2025-12-31 08:13:05.756 | INFO | simulation | Progress: 88% (2264/2572) | date=2024-04-05 00:00:00 nav=266.74072806 opt_status=no_rebalance
2025-12-31 08:13:06.643 | INFO | simulation | Progress: 89% (2290/2572) | date=2024-05-16 00:00:00 nav=270.33049412 opt_status=no_rebalance
2025-12-31 08:13:07.423 | INFO | simulation | Progress: 90% (2315/2572) | date=2024-06-21 00:00:00 nav=276.39420162 opt_status=no_rebalance
2025-12-31 08:13:08.251 | INFO | simulation | Progress: 91% (2341/2572) | date=2024-07-30 00:00:00 nav=297.90772015 opt_status=no_rebalance
2025-12-31 08:13:08.992 | INFO | simulation | Progress: 92% (2367/2572) | date=2024-09-05 00:00:00 nav=276.87630089 opt_status=no_rebalance
2025-12-31 08:13:09.774 | INFO | simulation | Progress: 93% (2392/2572) | date=2024-10-11 00:00:00 nav=285.37761782 opt_status=no_rebalance
2025-12-31 08:13:10.692 | INFO | simulation | Progress: 94% (2418/2572) | date=2024-11-21 00:00:00 nav=269.3258368 opt_status=no_rebalance
2025-12-31 08:13:11.586 | INFO | simulation | Progress: 95% (2444/2572) | date=2024-12-30 00:00:00 nav=274.38223483 opt_status=ok_ema_online_mv_reg
2025-12-31 08:13:12.325 | INFO | simulation | Progress: 96% (2470/2572) | date=2025-02-03 00:00:00 nav=226.42924613 opt_status=ok_ema_online_mv_reg
2025-12-31 08:13:13.160 | INFO | simulation | Progress: 97% (2495/2572) | date=2025-03-11 00:00:00 nav=212.90423404 opt_status=no_rebalance
2025-12-31 08:13:14.025 | INFO | simulation | Progress: 98% (2521/2572) | date=2025-04-23 00:00:00 nav=231.22446578 opt_status=no_rebalance
2025-12-31 08:13:14.759 | INFO | simulation | Progress: 99% (2547/2572) | date=2025-05-30 00:00:00 nav=249.81946029 opt_status=no_rebalance
2025-12-31 08:13:15.504 | INFO | simulation | Progress: 100% (2572/2572) | date=2025-07-04 00:00:00 nav=246.46104139 opt_status=no_rebalance
2025-12-31 08:13:15.809 | INFO | simulation | Experiment saved to: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:13:15.875 | INFO | simulation | Saved performance artifacts to experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\outputs\performance
2025-12-31 08:13:17.863 | INFO | simulation | Saved figures to: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\artifacts\figures
2025-12-31 08:13:17.863 | INFO | simulation | Run complete
